objid,ra,dec,method_b_score,method_b_anomaly
12376400000000000608,255.6968847259849,-1.374775922192569,-0.1426400457367054,True
12376400000000000518,5.512226753874656,-3.646162877822519,-0.11932092629258906,True
12376400000000003407,285.3823498120183,21.19307200137963,-0.11237328035677474,True
12376400000000002823,294.3566673136602,13.113178573498484,-0.1046978598434829,True
12376400000000004558,257.97301395902025,48.69134804858275,-0.09977233818486053,True
12376400000000006055,295.03243689758216,13.002510767864187,-0.09739544413849144,True
12376400000000001679,307.0097287492472,15.204538450489544,-0.09177017122435227,True
12376400000000004018,185.3462147716908,43.82689322218837,-0.08075173563799376,True
12376400000000001375,297.85737115636664,17.755705482833793,-0.08065523834407606,True
12376400000000004438,251.19597937407764,49.40753890235585,-0.08033894109828998,True
12376400000000002817,110.8019470680786,31.837006426138075,-0.07925109708697042,True
12376400000000002711,287.92988918998753,17.897527666750285,-0.07921327355332575,True
12376400000000003968,59.806693950570974,-13.538838889018216,-0.07717291117679281,True
12376400000000000250,77.32056343549964,-2.7336359253098266,-0.07535336082253341,True
12376400000000002551,288.38896872447106,-3.628021461028695,-0.07427608725686652,True
12376400000000004539,8.582524529030444,-0.8900950707713626,-0.07308154817981416,True
12376400000000004088,41.46667706922358,-2.408394174088324,-0.06457565423036604,True
12376400000000003127,298.3821201573336,16.77894195746701,-0.0632583012999054,True
12376400000000005655,302.13737209568103,10.184243988626337,-0.06302921494775038,True
12376400000000003558,248.9665801440736,45.53396433469049,-0.05790430410986236,True
12376400000000005887,301.74536649202435,13.925523455074831,-0.05682859882827351,True
12376400000000004348,164.8938342669743,-6.622771033370228,-0.05679536883825509,True
12376400000000003431,293.8830141726602,13.052236250114229,-0.05577962304562423,True
12376400000000003738,183.70210346061788,51.39148527044371,-0.05481572144872082,True
12376400000000001943,287.9894757100911,15.194779102897634,-0.053353852205085706,True
12376400000000006143,301.490723335586,14.504355074571698,-0.05334887251523679,True
12376400000000004898,188.91681967331908,47.45322315076153,-0.05144845489471017,True
12376400000000003678,247.77629006926807,30.19032066359046,-0.048707465058670185,True
12376400000000004808,50.403648420204505,-4.853898728652533,-0.04585326664225797,True
12376400000000005879,285.23922092164213,17.226541080750575,-0.04452744721961999,True
12376400000000006695,297.6942528499486,21.495031817825705,-0.043577307642629015,True
12376400000000004238,259.99724691398166,35.957956085956894,-0.040755224416791025,True
12376400000000000308,282.4066479659726,38.88627728597668,-0.03850855046941182,True
12376400000000003578,182.5339956935364,40.53981128609936,-0.038428998159446115,True
12376400000000002631,285.90078422367765,22.7856251761116,-0.036468523996137536,True
12376400000000004368,55.28685037827094,-8.716587641361457,-0.03457745435438553,True
