objid,raw_path,total_components,secondary_components,primary_flux,primary_center_distance,brightest_secondary_flux_ratio,farthest_secondary_distance_px,asymmetry_score,background_level,background_sigma,component_json,ra,dec,petroMag_r,petroR50_r,secondary_object_score,secondary_object_flag,overlay_path
12376400000000003257,/Users/a/Desktop/astro1/data/raw/12376400000000003257.jpg,3,0,7028.0,85.14659020258607,0.0,0.0,0.8637207746505737,4.0,2.9652,"[{""area"": 81, ""flux"": 4290.0, ""centroid_x"": 120.8, ""centroid_y"": 38.9, ""center_distance"": 88.9, ""bbox"": [116, 35, 125, 43]}, {""area"": 125, ""flux"": 7028.0, ""centroid_x"": 150.8, ""centroid_y"": 45.6, ""center_distance"": 85.1, ""bbox"": [145, 40, 156, 51]}, {""area"": 69, ""flux"": 3445.0, ""centroid_x"": 23.0, ""centroid_y"": 231.0, ""center_distance"": 147.1, ""bbox"": [19, 227, 27, 235]}]",128.618578683505,38.57620028426597,17.64473377885627,4.769359962814196,0.373923838968919,False,
12376400000000005054,/Users/a/Desktop/astro1/data/raw/12376400000000005054.jpg,4,0,83521.0,113.97110742773063,0.0,0.0,1.176905632019043,3.0,2.9652,"[{""area"": 1425, ""flux"": 83521.0, ""centroid_x"": 179.1, ""centroid_y"": 25.9, ""center_distance"": 114.0, ""bbox"": [154, 3, 201, 47]}, {""area"": 60, ""flux"": 3282.0, ""centroid_x"": 79.3, ""centroid_y"": 16.4, ""center_distance"": 121.1, ""bbox"": [76, 13, 83, 20]}, {""area"": 114, ""flux"": 6859.0, ""centroid_x"": 215.9, ""centroid_y"": 167.5, ""center_distance"": 97.0, ""bbox"": [211, 162, 221, 173]}, {""area"": 74, ""flux"": 4135.0, ""centroid_x"": 240.2, ""centroid_y"": 185.0, ""center_distance"": 126.5, ""bbox"": [236, 181, 244, 189]}]",254.8844431874641,39.76208683730109,16.89083904003918,3.777475052596084,0.37381898562172877,False,
12376400000000000751,/Users/a/Desktop/astro1/data/raw/12376400000000000751.jpg,4,0,7040.0,58.18702542256107,0.0,0.0,0.9189543128013611,4.0,2.9652,"[{""area"": 166, ""flux"": 8561.0, ""centroid_x"": 55.8, ""centroid_y"": 46.0, ""center_distance"": 108.5, ""bbox"": [48, 40, 65, 52]}, {""area"": 78, ""flux"": 3943.0, ""centroid_x"": 58.2, ""centroid_y"": 76.4, ""center_distance"": 86.1, ""bbox"": [54, 72, 62, 81]}, {""area"": 158, ""flux"": 7040.0, ""centroid_x"": 71.1, ""centroid_y"": 113.2, ""center_distance"": 58.2, ""bbox"": [64, 107, 78, 119]}, {""area"": 80, ""flux"": 3782.0, ""centroid_x"": 98.7, ""centroid_y"": 201.0, ""center_distance"": 78.9, ""bbox"": [94, 197, 103, 205]}]",121.70427159754183,-25.769350757178216,19.75460725263265,2.836776926180222,0.3737857925159778,False,
12376400000000004777,/Users/a/Desktop/astro1/data/raw/12376400000000004777.jpg,4,0,74895.0,144.57267363170308,0.0,0.0,0.9186349511146545,6.0,5.9304,"[{""area"": 64, ""flux"": 4127.0, ""centroid_x"": 121.0, ""centroid_y"": 3.5, ""center_distance"": 124.2, ""bbox"": [114, 2, 128, 6]}, {""area"": 146, ""flux"": 7674.0, ""centroid_x"": 244.7, ""centroid_y"": 6.6, ""center_distance"": 168.4, ""bbox"": [239, 2, 253, 14]}, {""area"": 827, ""flux"": 74895.0, ""centroid_x"": 11.0, ""centroid_y"": 213.1, ""center_distance"": 144.6, ""bbox"": [2, 194, 28, 232]}, {""area"": 88, ""flux"": 7213.0, ""centroid_x"": 38.7, ""centroid_y"": 209.9, ""center_distance"": 121.1, ""bbox"": [34, 205, 43, 214]}]",127.98663233657858,33.47202508307966,18.16648794802904,5.170164349056873,0.3737857925159778,False,
12376400000000002145,/Users/a/Desktop/astro1/data/raw/12376400000000002145.jpg,1,0,6256.0,130.30570240460395,0.0,0.0,0.8812831044197083,5.0,4.4478,"[{""area"": 85, ""flux"": 6256.0, ""centroid_x"": 24.6, ""centroid_y"": 207.4, ""center_distance"": 130.3, ""bbox"": [20, 203, 29, 212]}]",112.1215908170126,31.11750586011472,19.857639378638112,7.569670015071474,0.3737764057721235,False,
12376400000000004913,/Users/a/Desktop/astro1/data/raw/12376400000000004913.jpg,1,0,5094.0,145.81680306896976,0.0,0.0,0.8815626502037048,4.0,2.9652,"[{""area"": 111, ""flux"": 5094.0, ""centroid_x"": 21.7, ""centroid_y"": 227.8, ""center_distance"": 145.8, ""bbox"": [16, 223, 27, 233]}]",120.51613161659388,26.134714061420848,20.56783561316748,5.214362943244147,0.3737764057721235,False,
12376400000000004345,/Users/a/Desktop/astro1/data/raw/12376400000000004345.jpg,2,0,44694.0,159.23970881449736,0.0,0.0,1.1768972873687744,5.0,4.4478,"[{""area"": 244, ""flux"": 19548.0, ""centroid_x"": 21.7, ""centroid_y"": 7.2, ""center_distance"": 160.2, ""bbox"": [13, 2, 31, 18]}, {""area"": 793, ""flux"": 44694.0, ""centroid_x"": 8.9, ""centroid_y"": 233.8, ""center_distance"": 159.2, ""bbox"": [2, 204, 22, 253]}]",117.24795357641068,28.08840399650652,18.54691632868791,11.05319561957649,0.37366137104044694,False,
12376400000000005354,/Users/a/Desktop/astro1/data/raw/12376400000000005354.jpg,2,0,35646.0,104.09144189597833,0.0,0.0,1.175784707069397,2.0,1.4826,"[{""area"": 796, ""flux"": 35278.0, ""centroid_x"": 236.0, ""centroid_y"": 91.5, ""center_distance"": 114.3, ""bbox"": [219, 76, 250, 107]}, {""area"": 792, ""flux"": 35646.0, ""centroid_x"": 108.0, ""centroid_y"": 229.8, ""center_distance"": 104.1, ""bbox"": [92, 214, 122, 246]}]",189.2010292537964,53.411080214295545,20.75185275211029,11.73093332795746,0.37366137104044694,False,
12376400000000006355,/Users/a/Desktop/astro1/data/raw/12376400000000006355.jpg,1,0,3571.0,89.00032956861948,0.0,0.0,0.8820471167564392,3.0,2.9652,"[{""area"": 73, ""flux"": 3571.0, ""centroid_x"": 161.0, ""centroid_y"": 45.0, ""center_distance"": 89.0, ""bbox"": [157, 41, 165, 49]}]",1.4503194594149136,-1.2960250414383907,17.111570261974343,4.741556675389876,0.3736499811570992,False,
12376400000000004044,/Users/a/Desktop/astro1/data/raw/12376400000000004044.jpg,1,0,12592.0,60.53808575701294,0.0,0.0,1.1212881803512573,5.0,5.9304,"[{""area"": 140, ""flux"": 12592.0, ""centroid_x"": 79.9, ""centroid_y"": 164.9, ""center_distance"": 60.5, ""bbox"": [74, 159, 86, 171]}]",138.72389292654609,-5.538771442382943,17.266331473719227,5.0282962513796,0.3736128439407403,False,
